,load on ... (>0.5),PA1,PA2,h2,u2,com
vis02.appealing.,1,0.52,0.36,0.64,0.36,1.8
vis02.balanced.,1,0.82,-0.15,0.54,0.46,1.1
vis02.clean.,1,0.86,-0.11,0.64,0.36,1
vis02.colorHarmonious.,1,0.77,-0.13,0.48,0.52,1.1
vis02.harmonious.,1,0.7,0.05,0.54,0.46,1
vis02.likable.,1,0.7,0.15,0.65,0.35,1.1
vis02.nice.,1,0.76,0.12,0.71,0.29,1
vis02.organized.,1,0.95,-0.28,0.64,0.36,1.2
vis02.pleasing.,1,0.62,0.26,0.66,0.34,1.4
vis02.professional.,1,0.83,-0.11,0.58,0.42,1
vis02.satisfying.,1,0.56,0.25,0.55,0.45,1.4
vis02.tasteful.,1,0.56,0.14,0.43,0.57,1.1
vis02.wellDesigned.,1,0.7,0.07,0.56,0.44,1
vis02.artistic.,2,-0.22,0.8,0.47,0.53,1.1
vis02.beautiful.,2,0.29,0.57,0.62,0.38,1.5
vis02.creative.,2,-0.22,0.78,0.45,0.55,1.2
vis02.delightful.,2,0.2,0.63,0.61,0.39,1.2
vis02.engaging.,2,0.24,0.55,0.53,0.47,1.4
vis02.exciting.,2,-0.09,0.87,0.66,0.34,1
vis02.fascinating.,2,-0.05,0.8,0.59,0.41,1
vis02.inviting.,2,0.23,0.6,0.59,0.41,1.3
vis02.lovely.,2,0.32,0.51,0.58,0.42,1.7
vis02.motivating.,2,0.02,0.72,0.54,0.46,1
vis02.sophisticated.,2,0.12,0.59,0.46,0.54,1.1
vis02.attractive.,neither,0.48,0.38,0.6,0.4,1.9
vis02.cluttered.,neither,-0.57,0.22,0.22,0.78,1.3
vis02.elegant.,neither,0.39,0.45,0.58,0.42,2
vis02.enjoyable.,neither,0.49,0.37,0.61,0.39,1.9
vis02.interesting.,neither,0.36,0.42,0.5,0.5,2
vis02.pretty.,neither,0.42,0.42,0.57,0.43,2
vis02.provoking.,neither,-0.23,0.47,0.14,0.86,1.4